tipo_vinho,faixa_preco,canal_venda,regiao_cliente,uva,pais,vinho_ocasiao,mes_venda,qtd_garrafas,desconto_aplicado,sucesso_venda
Tinto,Intermediario,Loja fisica,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,6,3,0,1
Espumante,Economico,E-commerce,Sul,Chardonnay,Brasil,Celebracao,12,1,5,1
Branco,Premium,Eventos/Feiras,Sudeste,Chardonnay,Argentina,Almoco Executivo,3,3,10,1
Tinto,Premium,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,7,3,15,1
Rose,Intermediario,E-commerce,Nordeste,Grenache,Franca,Beira da Piscina,11,6,20,0
Espumante,Premium,Loja fisica,Sul,Chardonnay,Brasil,Celebracao,12,2,5,1
Tinto,Economico,Loja fisica,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,8,8,0,1
Branco,Intermediario,E-commerce,Centro-Oeste,Chardonnay,Argentina,Almoco Executivo,2,6,15,0
Tinto,Premium,Eventos/Feiras,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,9,2,8,1
Espumante,Intermediario,Indicacao,Sul,Chardonnay,Brasil,Celebracao,12,4,0,1
Rose,Economico,E-commerce,Norte,Grenache,Franca,Beira da Piscina,10,6,25,0
Tinto,Intermediario,Loja fisica,Sul,Touriga Nacional,Portugal,Jantar Romantico,6,4,5,1
Branco,Premium,Indicacao,Sudeste,Chardonnay,Argentina,Almoco Executivo,4,4,10,1
Tinto,Premium,E-commerce,Centro-Oeste,Touriga Nacional,Portugal,Jantar Romantico,7,3,30,0
Espumante,Economico,Loja fisica,Sudeste,Chardonnay,Brasil,Celebracao,1,2,10,1
Tinto,Intermediario,Eventos/Feiras,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,5,3,5,1
Rose,Premium,Indicacao,Sul,Grenache,Franca,Beira da Piscina,11,4,0,1
Branco,Economico,E-commerce,Nordeste,Chardonnay,Argentina,Almoco Executivo,9,6,15,1
Tinto,Premium,Loja fisica,Norte,Touriga Nacional,Portugal,Jantar Romantico,3,3,30,0
Espumante,Intermediario,Eventos/Feiras,Sudeste,Chardonnay,Brasil,Celebracao,12,2,5,1
Tinto,Intermediario,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,6,1,0,1
Branco,Economico,E-commerce,Nordeste,Chardonnay,Argentina,Almoco Executivo,1,1,20,0
Rose,Intermediario,Loja fisica,Sul,Grenache,Franca,Beira da Piscina,11,1,10,1
Espumante,Premium,Eventos/Feiras,Sudeste,Chardonnay,Brasil,Celebracao,12,2,8,1
Tinto,Premium,Indicacao,Sul,Touriga Nacional,Portugal,Jantar Romantico,7,2,5,1
Branco,Intermediario,E-commerce,Centro-Oeste,Chardonnay,Argentina,Almoco Executivo,5,2,25,0
Espumante,Economico,Loja fisica,Sudeste,Chardonnay,Brasil,Celebracao,12,5,5,1
Tinto,Economico,E-commerce,Norte,Touriga Nacional,Portugal,Jantar Romantico,8,6,30,0
Rose,Premium,Indicacao,Sudeste,Grenache,Franca,Beira da Piscina,10,1,0,1
Branco,Premium,Eventos/Feiras,Sul,Chardonnay,Argentina,Almoco Executivo,4,2,12,1
